Month,PlannerName,Product,ProductFamily,Plant, Forecast_Tons ,Resource,Scenario Version,Comment
2026-09,Miranda,BSEAL 15709 CHN 20KG PL,BETASEAL 15709CHN UR AD,CA04,1.24,CA04 - 4000L JD,50 case,12017105
2026-10,Miranda,BSEAL 15709 CHN 20KG PL,BETASEAL 15709CHN UR AD,CA04,1.24,CA04 - 4000L JD,50 case,12017105
2026-11,Miranda,BSEAL 15709 CHN 20KG PL,BETASEAL 15709CHN UR AD,CA04,1.24,CA04 - 4000L JD,50 case,12017105
2026-12,Miranda,BSEAL 15709 CHN 20KG PL,BETASEAL 15709CHN UR AD,CA04,1.24,CA04 - 4000L JD,50 case,12017105
2027-01,Miranda,BSEAL 15709 CHN 20KG PL,BETASEAL 15709CHN UR AD,CA04,1.00,CA04 - 4000L JD,50 case,12017105
2027-02,Miranda,BSEAL 15709 CHN 20KG PL,BETASEAL 15709CHN UR AD,CA04,1.00,CA04 - 4000L JD,50 case,12017105
2027-03,Miranda,BSEAL 15709 CHN 20KG PL,BETASEAL 15709CHN UR AD,CA04,1.00,CA04 - 4000L JD,50 case,12017105
2027-04,Miranda,BSEAL 15709 CHN 20KG PL,BETASEAL 15709CHN UR AD,CA04,1.00,CA04 - 4000L JD,50 case,12017105
2027-05,Miranda,BSEAL 15709 CHN 20KG PL,BETASEAL 15709CHN UR AD,CA04,1.00,CA04 - 4000L JD,50 case,12017105
2027-06,Miranda,BSEAL 15709 CHN 20KG PL,BETASEAL 15709CHN UR AD,CA04,1.00,CA04 - 4000L JD,50 case,12017105
2027-07,Miranda,BSEAL 15709 CHN 20KG PL,BETASEAL 15709CHN UR AD,CA04,1.00,CA04 - 4000L JD,50 case,12017105
2027-08,Miranda,BSEAL 15709 CHN 20KG PL,BETASEAL 15709CHN UR AD,CA04,1.00,CA04 - 4000L JD,50 case,12017105
2027-09,Miranda,BSEAL 15709 CHN 20KG PL,BETASEAL 15709CHN UR AD,CA04,1.00,CA04 - 4000L JD,50 case,12017105
2027-10,Miranda,BSEAL 15709 CHN 20KG PL,BETASEAL 15709CHN UR AD,CA04,1.00,CA04 - 4000L JD,50 case,12017105
2027-11,Miranda,BSEAL 15709 CHN 20KG PL,BETASEAL 15709CHN UR AD,CA04,1.00,CA04 - 4000L JD,50 case,12017105
2027-12,Miranda,BSEAL 15709 CHN 20KG PL,BETASEAL 15709CHN UR AD,CA04,1.00,CA04 - 4000L JD,50 case,12017105
